Total modules: 76
  account_management_apis: 13 functions (0 entry), 1 structs
  accounts_collateral: 47 functions (0 entry), 2 structs
  adl_tracker: 7 functions (0 entry), 4 structs
  admin_apis: 88 functions (84 entry), 6 structs
  async_matching_engine: 24 functions (0 entry), 9 structs
  async_vault_engine: 3 functions (0 entry), 3 structs
  async_vault_work: 4 functions (0 entry), 3 structs
  async_withdraw_queue: 20 functions (0 entry), 11 structs
  backstop_liquidator_profit_tracker: 20 functions (0 entry), 5 structs
  builder_code_registry: 10 functions (0 entry), 3 structs
  bulk_order_book: 8 functions (0 entry), 1 structs
  bulk_order_utils: 4 functions (0 entry), 0 structs
  chainlink_state: 6 functions (2 entry), 2 structs
  clearinghouse_perp: 9 functions (0 entry), 0 structs
  collateral_balance_sheet: 46 functions (0 entry), 10 structs
  dead_mans_switch_tracker: 4 functions (0 entry), 5 structs
  decibel_time: 3 functions (0 entry), 1 structs
  dex_accounts: 31 functions (0 entry), 9 structs
  dex_accounts_entry: 36 functions (36 entry), 0 structs
  dex_accounts_vault_extension: 3 functions (0 entry), 1 structs
  fee_distribution: 12 functions (0 entry), 2 structs
  fee_treasury: 4 functions (0 entry), 1 structs
  global_liquidation_state: 8 functions (0 entry), 2 structs
  i64_aggregator: 7 functions (0 entry), 2 structs
  i64_math: 1 functions (0 entry), 0 structs
  internal_oracle_state: 3 functions (0 entry), 2 structs
  liquidation: 8 functions (0 entry), 3 structs
  liquidation_config: 8 functions (0 entry), 1 structs
  market_bulk_order: 4 functions (0 entry), 0 structs
  market_clearinghouse_order_info: 7 functions (0 entry), 1 structs
  market_types: 77 functions (0 entry), 15 structs
  math: 4 functions (0 entry), 1 structs
  moving_average: 6 functions (0 entry), 2 structs
  open_interest_tracker: 12 functions (0 entry), 3 structs
  oracle: 17 functions (0 entry), 7 structs
  order_apis: 13 functions (0 entry), 0 structs
  order_book: 25 functions (0 entry), 1 structs
  order_book_utils: 1 functions (0 entry), 0 structs
  order_margin: 6 functions (0 entry), 0 structs
  order_operations: 5 functions (0 entry), 0 structs
  order_placement: 10 functions (0 entry), 1 structs
  order_placement_utils: 1 functions (0 entry), 0 structs
  pending_order_book_index: 5 functions (0 entry), 4 structs
  pending_order_tracker: 42 functions (0 entry), 14 structs
  perp_engine: 115 functions (0 entry), 8 structs
  perp_engine_api: 7 functions (0 entry), 1 structs
  perp_engine_types: 25 functions (0 entry), 7 structs
  perp_market: 19 functions (0 entry), 2 structs
  perp_market_config: 48 functions (0 entry), 6 structs
  perp_order: 18 functions (0 entry), 3 structs
  perp_positions: 94 functions (0 entry), 15 structs
  position_tp_sl: 12 functions (0 entry), 0 structs
  position_tp_sl_tracker: 16 functions (0 entry), 3 structs
  position_update: 22 functions (0 entry), 2 structs
  position_view_types: 10 functions (0 entry), 1 structs
  pre_cancellation_tracker: 4 functions (0 entry), 2 structs
  predeposit: 53 functions (25 entry), 23 structs
  predeposit_wrappers: 7 functions (0 entry), 0 structs
  price_management: 29 functions (0 entry), 7 structs
  price_time_index: 11 functions (0 entry), 4 structs
  public_apis: 5 functions (5 entry), 0 structs
  referral_registry: 11 functions (0 entry), 6 structs
  safe_fungible: 3 functions (0 entry), 0 structs
  single_order_book: 17 functions (0 entry), 1 structs
  slippage_math: 1 functions (0 entry), 0 structs
  testc: 8 functions (0 entry), 1 structs
  tp_sl_utils: 4 functions (0 entry), 2 structs
  trading_fees_manager: 35 functions (0 entry), 4 structs
  usdc: 22 functions (8 entry), 5 structs
  vault: 30 functions (0 entry), 22 structs
  vault_admin_api: 7 functions (7 entry), 0 structs
  vault_api: 8 functions (4 entry), 0 structs
  vault_global_config: 33 functions (8 entry), 8 structs
  vault_share_asset: 11 functions (0 entry), 4 structs
  volume_tracker: 13 functions (0 entry), 6 structs
  work_unit_utils: 15 functions (0 entry), 1 structs
